Campus Fee Element of Cost of Attendance (all Programs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Other Programs,,,,,$78.75,$81.75,$81.75,$98.75,$98.75,$98.75,$98.75,$148.25,$197.75,$205.75,$207.75,$214.25,$250.75,$262.50,$262.25,$265.75,$319.75,$525.25,$537.25,$693.75,$700.50,,,,,
Optometry (OD),,,,,$78.75,$81.75,$81.75,$98.75,$98.75,$98.75,$98.75,$148.25,$197.75,$205.75,$207.75,$214.25,$250.75,$262.50,$262.25,$265.75,$319.75,$525.25,$537.25,$693.75,$700.50,,,,,
Law (JD),,,,,$78.75,$81.75,$81.75,$98.75,$98.75,$98.75,$98.75,$148.25,$197.75,$205.75,$207.75,$214.25,$250.75,$262.50,$262.25,$265.75,$319.75,$525.25,$537.25,$693.75,$700.50,,,,,
Business (MBA FT),,,,,$78.75,$81.75,$81.75,$98.75,$98.75,$98.75,$98.75,$148.25,$197.75,$205.75,$207.75,$214.25,$250.75,$262.50,$262.25,$265.75,$319.75,$525.25,$537.25,$693.75,$700.50,,,,,
UCB-UCSF Medical (MS/MD),,,,,$78.75,$81.75,$81.75,$98.75,$98.75,$98.75,$98.75,$148.25,$197.75,$205.75,$207.75,$214.25,$250.75,$262.50,$262.25,$265.75,$319.75,$525.25,$537.25,$693.75,$700.50,,,,,
"Public Health (MPH, Dr.PH )",,,,,$78.75,$81.75,$81.75,$98.75,$98.75,$98.75,$98.75,$148.25,$197.75,$205.75,$207.75,$214.25,$250.75,$262.50,$262.25,$265.75,$319.75,$525.25,$537.25,$693.75,$700.50,,,,,
Public Policy (MPP),,,,,$78.75,$81.75,$81.75,$98.75,$98.75,$98.75,$98.75,$148.25,$197.75,$205.75,$207.75,$214.25,$250.75,$262.50,$262.25,$265.75,$319.75,$525.25,$537.25,$693.75,$700.50,,,,,
Engineering (M.Eng.),,,,,$78.75,$81.75,$81.75,$98.75,$98.75,$98.75,$98.75,$148.25,$197.75,$205.75,$207.75,$214.25,$250.75,$262.50,$262.25,$265.75,$319.75,$525.25,$537.25,$693.75,$700.50,,,,,
"CED (M.Arch., MCP., MLA, and MUD)",,,,,$78.75,$81.75,$81.75,$98.75,$98.75,$98.75,$98.75,$148.25,$197.75,$205.75,$207.75,$214.25,$250.75,$262.50,$262.25,$265.75,$319.75,$525.25,$537.25,$693.75,$700.50,,,,,
Social Welfare (MSW),,,,,$78.75,$81.75,$81.75,$98.75,$98.75,$98.75,$98.75,$148.25,$197.75,$205.75,$207.75,$214.25,$250.75,$262.50,$262.25,$265.75,$319.75,$525.25,$537.25,$693.75,$700.50,,,,,
Information (MIMS),,,,,$78.75,$81.75,$81.75,$98.75,$98.75,$98.75,$98.75,$148.25,$197.75,$205.75,$207.75,$214.25,$250.75,$262.50,$262.25,$265.75,$319.75,$525.25,$537.25,$693.75,$700.50,,,,,
Chemistry (MS Chem Eng),,,,,$78.75,$81.75,$81.75,$98.75,$98.75,$98.75,$98.75,$148.25,$197.75,$205.75,$207.75,$214.25,$250.75,$262.50,$262.25,$265.75,$319.75,$525.25,$537.25,$693.75,$700.50,,,,,
Stats (MA),,,,,$78.75,$81.75,$81.75,$98.75,$98.75,$98.75,$98.75,$148.25,$197.75,$205.75,$207.75,$214.25,$250.75,$262.50,$262.25,$265.75,$319.75,$525.25,$537.25,$693.75,$700.50,,,,,
Development Practice (MDP),,,,,$78.75,$81.75,$81.75,$98.75,$98.75,$98.75,$98.75,$148.25,$197.75,$205.75,$207.75,$214.25,$250.75,$262.50,$262.25,$265.75,$319.75,$525.25,$537.25,$693.75,$700.50,,,,,
UCB-UCSF Medical (MTM),,,,,$78.75,$81.75,$81.75,$98.75,$98.75,$98.75,$98.75,$148.25,$197.75,$205.75,$207.75,$214.25,$250.75,$262.50,$262.25,$265.75,$319.75,$525.25,$537.25,$693.75,$700.50,,,,,
"Education (Ed. Leadership, Teacher Ed. , Principal Leadership MA)",,,,,$78.75,$81.75,$81.75,$98.75,$98.75,$98.75,$98.75,$148.25,$197.75,$205.75,$207.75,$214.25,$250.75,$262.50,$262.25,$265.75,$319.75,$525.25,$537.25,$693.75,$700.50,,,,,
[blank],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journalism (MJ),,,,,$78.75,$81.75,$81.75,$98.75,$98.75,$98.75,$98.75,$148.25,$197.75,$205.75,$207.75,$214.25,$250.75,$262.50,$262.25,$265.75,$319.75,$525.25,$537.25,$693.75,$700.50,,,,,
CEE (MS),,,,,$78.75,$81.75,$81.75,$98.75,$98.75,$98.75,$98.75,$148.25,$197.75,$205.75,$207.75,$214.25,$250.75,$262.50,$262.25,$265.75,$319.75,$525.25,$537.25,$693.75,$700.50,,,,,
