Campus Fee Element of Cost of Attendance (all Programs),,,,Note: see source data for details. These are primarily document management fees.,,,,,,,,,,,,,,,,,
,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Other Programs,,,,,,,,,,,,,,,80,83,84,86,87,89,92
Optometry (OD),,,,,,,,,,,,,,,100,104,106,109,111,113,117
Law (JD),$203.00,$203.00,$203.00,$203.00,$203.00,$203.00,$203.00,$203.00,$203.00,$203.00,$203.00,$203.00,$15.00,$15.00,$40.00,$41.00,$41.00,$42.00,$43.00,$44.00,$45.00
Business (MBA FT),,,,,,,,,,,,,,,$80.00,$83.00,$84.00,$86.00,$87.00,$89.00,$92.00
UCB-UCSF Medical (MS/MD),$218.50,$218.50,$218.50,$218.50,$218.50,$218.50,$218.50,$218.50,$218.50,$218.50,$218.50,$218.50,$30.50,$30.50,$110.50,$113.50,$114.50,$116.50,$117.50,$119.50,$30.50
"Public Health (MPH, Dr.PH )",,,,,,,,,,,,,,,$80.00,$83.00,$84.00,$86.00,$87.00,$89.00,$92.00
Public Policy (MPP),,,,,,,,,,,,,,,$80.00,$83.00,$84.00,$86.00,$87.00,$89.00,$92.00
Engineering (M.Eng.),,,,,,,,,,,,,,,$80.00,$83.00,$84.00,$86.00,$87.00,$89.00,$92.00
"CED (M.Arch., MCP., MLA, and MUD)",,,,,,,,,,,,,,,$80.00,$83.00,$84.00,$86.00,$87.00,$89.00,$92.00
Social Welfare (MSW),,,,,,,,,,,,,,,$80.00,$83.00,$84.00,$86.00,$87.00,$89.00,$92.00
Information (MIMS),,,,,,,,,,,,,,,$80.00,$83.00,$84.00,$86.00,$87.00,$89.00,$92.00
Chemistry (MS Chem Eng),,,,,,,,,,,,,,,$80.00,$83.00,$84.00,$86.00,$87.00,$89.00,$92.00
Stats (MA),,,,,,,,,,,,,,,$80.00,$83.00,$84.00,$86.00,$87.00,$89.00,$92.00
Development Practice (MDP),,,,,,,,,,,,,,,$80.00,$83.00,$84.00,$86.00,$87.00,$89.00,$92.00
UCB-UCSF Medical (MTM),,,,,,,,,,,,,,,,$83.00,$84.00,$86.00,$87.00,$89.00,$92.00
"Education (Ed. Leadership, Teacher Ed. , Principal Leadership MA)",,,,,,,,,,,,,,,,,,$86.00,$87.00,$89.00,$92.00
[blank],,,,,,,,,,,,,,,,,,,,,
Journalism (MJ),,,,,,,,,,,,,,,,,,,$87.00,$89.00,$92.00
CEE (MS),,,,,,,,,,,,,,,,,,,,$89.00,$92.00
