Tuition Element of Cost of Attendance (all Programs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Other Programs,,,,,1543,1448,1448,1448,1583,2253,2778,3081,3081,3327,3561,3973.5,4701,5610,5610,5610,5610,5610,5610,5751,5721,,,,,
Optometry (OD),,,,,1543,1543,1543,1543,1678,2375.5,2375.5,3028.5,3203.5,2898,3102,3700.5,4656,5610,5610,5610,5610,5610,5610,5751,5721,,,,,
Law (JD),,,,,1543,1543,1543,1543,1678,2375.5,2375.5,3028.5,3203.5,2898,3102,3700.5,4656,5610,5610,5610,5610,5610,5610,5751,5721,,,,,
Business (MBA FT),,,,,1543,1543,1543,1543,1678,2375.5,2375.5,3028.5,3203.5,2898,3102,3700.5,4656,5610,5610,5610,5610,5610,5610,5751,5721,,,,,
UCB-UCSF Medical (MS/MD),,,,,1543,1543,1543,1543,1678,2375.5,2375.5,3028.5,3203.5,2898,3102,3700.5,4656,5610,5610,5610,5610,5610,5610,5751,5721,,,,,
"Public Health (MPH, Dr.PH )",,,,,,,,,,,,3081,3081,3327,3561,4245,5325,5610,5610,5610,5610,5610,5610,5751,5721,,,,,
Public Policy (MPP),,,,,,,,,,,,3081,3081,3327,3561,4245,5325,5610,5610,5610,5610,5610,5610,5751,5721,,,,,
Engineering (M.Eng.),,,,,,,,,,,,,,,,,,5610,5610,5610,5610,5610,5610,5751,5721,,,,,
"CED (M.Arch., MCP., MLA, and MUD)",,,,,,,,,,,,,,,,,4701,5610,5610,5610,5610,5610,5610,5751,5721,,,,,
Social Welfare (MSW),,,,,,,,,,,,,,,,,4701,5610,5610,5610,5610,5610,5610,5751,5721,,,,,
Information (MIMS),,,,,,,,,,,,,,,,,4701,5610,5610,5610,5610,5610,5610,5751,5721,,,,,
Chemistry (MS Chem Eng),,,,,,,,,,,,,,,,,,,5610,5610,5610,5610,5610,5751,5721,,,,,
Stats (MA),,,,,,,,,,,,,,,,,,,5610,5610,5610,5610,5610,5751,5721,,,,,
Development Practice (MDP),,,,,,,,,,,,,,,,,,,5610,5610,5610,5610,5610,5751,5721,,,,,
UCB-UCSF Medical (MTM),,,,,,,,,,,,,,,,,,,,5610,5610,5610,5610,5751,5721,,,,,
"Education (Ed. Leadership, Teacher Ed. , Principal Leadership MA)",,,,,,,,,,,,,,,,,,,,,,5610,5610,5751,5721,,,,,
[blank],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journalism (MJ),,,,,,,,,,,,,,,,,,,,,,,5610,5751,5721,,,,,
CEE (MS),,,,,,,,,,,,,,,,,,,,,,,,5751,5721,,,,,
